"group"	"gene"
"Cell cycle"	"100506332"
"Cell cycle"	"1017"
"Cell cycle"	"1019"
"Cell cycle"	"1021"
"Cell cycle"	"1022"
"Cell cycle"	"1026"
"Cell cycle"	"1027"
"Cell cycle"	"1028"
"Cell cycle"	"1030"
"Cell cycle"	"1031"
"Cell cycle"	"1032"
"Cell cycle"	"10735"
"Cell cycle"	"10926"
"Cell cycle"	"10971"
"Cell cycle"	"11200"
"Cell cycle"	"1647"
"Cell cycle"	"1869"
"Cell cycle"	"1870"
"Cell cycle"	"1871"
"Cell cycle"	"1875"
"Cell cycle"	"2033"
"Cell cycle"	"246184"
"Cell cycle"	"25"
"Cell cycle"	"25847"
"Cell cycle"	"29882"
"Cell cycle"	"29945"
"Cell cycle"	"3065"
"Cell cycle"	"3066"
"Cell cycle"	"4085"
"Cell cycle"	"4088"
"Cell cycle"	"4616"
"Cell cycle"	"494551"
"Cell cycle"	"5111"
"Cell cycle"	"51433"
"Cell cycle"	"51434"
"Cell cycle"	"51529"
"Cell cycle"	"5347"
"Cell cycle"	"545"
"Cell cycle"	"5934"
"Cell cycle"	"595"
"Cell cycle"	"64682"
"Cell cycle"	"650621"
"Cell cycle"	"651610"
"Cell cycle"	"7029"
"Cell cycle"	"7042"
"Cell cycle"	"7043"
"Cell cycle"	"731751"
"Cell cycle"	"7465"
"Cell cycle"	"7529"
"Cell cycle"	"7531"
"Cell cycle"	"7532"
"Cell cycle"	"7533"
"Cell cycle"	"7534"
"Cell cycle"	"8243"
"Cell cycle"	"8317"
"Cell cycle"	"8318"
"Cell cycle"	"8454"
"Cell cycle"	"85417"
"Cell cycle"	"8556"
"Cell cycle"	"8697"
"Cell cycle"	"8881"
"Cell cycle"	"890"
"Cell cycle"	"8900"
"Cell cycle"	"891"
"Cell cycle"	"894"
"Cell cycle"	"896"
"Cell cycle"	"898"
"Cell cycle"	"902"
"Cell cycle"	"9088"
"Cell cycle"	"9133"
"Cell cycle"	"9134"
"Cell cycle"	"9232"
"Cell cycle"	"983"
"Cell cycle"	"990"
"Cell cycle"	"993"
"Cell cycle"	"994"
"Cell cycle"	"995"
"Cell cycle"	"996"
"Cell cycle"	"9978"
"MAPK signaling pathway"	"10000"
"MAPK signaling pathway"	"100137049"
"MAPK signaling pathway"	"10125"
"MAPK signaling pathway"	"10235"
"MAPK signaling pathway"	"10368"
"MAPK signaling pathway"	"10369"
"MAPK signaling pathway"	"10454"
"MAPK signaling pathway"	"10746"
"MAPK signaling pathway"	"10912"
"MAPK signaling pathway"	"11072"
"MAPK signaling pathway"	"11184"
"MAPK signaling pathway"	"11221"
"MAPK signaling pathway"	"11261"
"MAPK signaling pathway"	"1147"
"MAPK signaling pathway"	"115727"
"MAPK signaling pathway"	"123745"
"MAPK signaling pathway"	"1326"
"MAPK signaling pathway"	"1386"
"MAPK signaling pathway"	"1398"
"MAPK signaling pathway"	"1399"
"MAPK signaling pathway"	"1432"
"MAPK signaling pathway"	"1616"
"MAPK signaling pathway"	"1647"
"MAPK signaling pathway"	"1649"
"MAPK signaling pathway"	"1843"
"MAPK signaling pathway"	"1844"
"MAPK signaling pathway"	"1845"
"MAPK signaling pathway"	"1846"
"MAPK signaling pathway"	"1847"
"MAPK signaling pathway"	"1848"
"MAPK signaling pathway"	"1849"
"MAPK signaling pathway"	"1850"
"MAPK signaling pathway"	"1852"
"MAPK signaling pathway"	"1950"
"MAPK signaling pathway"	"1956"
"MAPK signaling pathway"	"2002"
"MAPK signaling pathway"	"2005"
"MAPK signaling pathway"	"207"
"MAPK signaling pathway"	"208"
"MAPK signaling pathway"	"2122"
"MAPK signaling pathway"	"2246"
"MAPK signaling pathway"	"2247"
"MAPK signaling pathway"	"2248"
"MAPK signaling pathway"	"2249"
"MAPK signaling pathway"	"2250"
"MAPK signaling pathway"	"2251"
"MAPK signaling pathway"	"2252"
"MAPK signaling pathway"	"2253"
"MAPK signaling pathway"	"2254"
"MAPK signaling pathway"	"2255"
"MAPK signaling pathway"	"2256"
"MAPK signaling pathway"	"2257"
"MAPK signaling pathway"	"2258"
"MAPK signaling pathway"	"2259"
"MAPK signaling pathway"	"2260"
"MAPK signaling pathway"	"2261"
"MAPK signaling pathway"	"2263"
"MAPK signaling pathway"	"2264"
"MAPK signaling pathway"	"22800"
"MAPK signaling pathway"	"22808"
"MAPK signaling pathway"	"23118"
"MAPK signaling pathway"	"2316"
"MAPK signaling pathway"	"23162"
"MAPK signaling pathway"	"2317"
"MAPK signaling pathway"	"2318"
"MAPK signaling pathway"	"2353"
"MAPK signaling pathway"	"23542"
"MAPK signaling pathway"	"25780"
"MAPK signaling pathway"	"26279"
"MAPK signaling pathway"	"26281"
"MAPK signaling pathway"	"26291"
"MAPK signaling pathway"	"27006"
"MAPK signaling pathway"	"27091"
